交易日,,收盘价,,,,,
trade_date,open_int,close,datetime,high,low,open,volume
20230327,340322,14082.5,2023/3/27,14112.5,13932.5,13992.5,136389
20230328,336723,14375,2023/3/28,14397.5,14140,14140,173949
20230329,334844,14542.5,2023/3/29,14647.5,14390,14390,208944
20230330,335346,14487.5,2023/3/30,14602.5,14422.5,14592.5,145580
20230331,348685,14512.5,2023/3/31,14552.5,14452.5,14527.5,146851
20230403,368911,14527.5,2023/4/3,14627.5,14447.5,14507.5,226037
20230404,375379,14552.5,2023/4/4,14587.5,14497.5,14532.5,150177
20230406,414281,14695,2023/4/6,14707.5,14472.5,14487.5,232300
20230407,470007,14902.5,2023/4/7,14932.5,14687.5,14692.5,370219
20230410,504870,14807.5,2023/4/10,14897.5,14757.5,14897.5,364459
20230411,521130,14792.5,2023/4/11,14822.5,14617.5,14790,355151
20230412,532940,14732.5,2023/4/12,14842.5,14675,14767.5,353290
20230413,556640,14872.5,2023/4/13,14877.5,14662.5,14772.5,355583
20230414,571858,14797.5,2023/4/14,15027.5,14767.5,14887.5,563137
20230417,601078,15122.5,2023/4/17,15167.5,14837.5,14852.5,514542
20230418,621373,15147.5,2023/4/18,15162.5,15042.5,15102.5,357856
20230419,629288,15162.5,2023/4/19,15227.5,15102.5,15137.5,410848
20230420,633568,15177.5,2023/4/20,15212.5,15087.5,15157.5,442415
20230421,602579,14857.5,2023/4/21,15097.5,14782.5,15072.5,692117
20230424,603389,14892.5,2023/4/24,14947.5,14747.5,14867.5,446028
20230425,629747,15217.5,2023/4/25,15312.5,14902.5,14917.5,841055
20230426,664742,15322.5,2023/4/26,15412.5,15047.5,15067.5,864904
20230427,653322,15222.5,2023/4/27,15352.5,15207.5,15280,553164
20230428,651647,15482.5,2023/4/28,15507.5,15247.5,15287.5,644976
20230504,681409,15712.5,2023/5/4,15777.5,15357.5,15357.5,583567
20230505,708430,15990,2023/5/5,15997.5,15762.5,15762.5,709861
20230508,703938,15917.5,2023/5/8,16057.5,15720,16052.5,942293
20230509,691860,15600,2023/5/9,15947.5,15542.5,15892.5,759292
20230510,690438,15682.5,2023/5/10,15827.5,15567.5,15592.5,686948
20230511,676436,15622.5,2023/5/11,15737.5,15567.5,15712.5,571384
20230512,647617,15442.5,2023/5/12,15607.5,15407.5,15607.5,610276
20230515,652480,15757.5,2023/5/15,15777.5,15382.5,15495,753375
20230516,644153,15707.5,2023/5/16,15897.5,15657.5,15797.5,657628
20230517,641497,15715,2023/5/17,15862.5,15677.5,15715,510182
20230518,637518,15855,2023/5/18,15950,15722.5,15777.5,567195
20230519,647982,15992.5,2023/5/19,16037.5,15697.5,15802.5,686308
20230522,649926,16130,2023/5/22,16342.5,15967.5,16017.5,924118
20230523,656420,16142.5,2023/5/23,16277.5,16057.5,16097.5,625656
20230524,628077,15722.5,2023/5/24,16207.5,15722.5,16155,764401
20230525,592878,15567.5,2023/5/25,15767.5,15422.5,15702.5,904113
20230526,554679,15472.5,2023/5/26,15587.5,15307.5,15577.5,953786
20230529,540818,15642.5,2023/5/29,15742.5,15397.5,15472.5,554908
20230530,543890,15502.5,2023/5/30,15642.5,15387.5,15642.5,535149
20230531,537566,15502.5,2023/5/31,15612.5,15452.5,15577.5,461094
20230601,586728,16397.5,2023/6/1,16462.5,15422.5,15437.5,1437344
20230602,588464,16342.5,2023/6/2,16537.5,16152.5,16335,1354753
20230605,620919,16762.5,2023/6/5,17012.5,16317.5,16347.5,2052161
20230606,641118,16865,2023/6/6,17055,16692.5,16727.5,1197029
20230607,636564,16817.5,2023/6/7,16952.5,16577.5,16807.5,902421
20230608,637103,16867.5,2023/6/8,16932.5,16727.5,16772.5,598683
20230609,628246,16795,2023/6/9,17057.5,16672.5,16922.5,741361
20230612,616378,16752.5,2023/6/12,16827.5,16592.5,16767.5,634069
20230613,618228,16872.5,2023/6/13,16902.5,16597.5,16762.5,593705
20230614,600250,16827.5,2023/6/14,16932.5,16717.5,16880,438686
20230615,600647,16767.5,2023/6/15,16992.5,16730,16807.5,698230
20230616,599211,16797.5,2023/6/16,17017.5,16705,16802.5,554818
20230619,577443,16477.5,2023/6/19,16892.5,16377.5,16867.5,709629
20230620,569392,16697.5,2023/6/20,16732.5,16422.5,16492.5,430723
20230621,528534,16352.5,2023/6/21,16687.5,16322.5,16677.5,477368
20230626,521733,16267.5,2023/6/26,16452.5,16202.5,16232.5,279752
20230627,513652,16312.5,2023/6/27,16397.5,16122.5,16237.5,394823
20230628,504550,16327.5,2023/6/28,16362.5,16212.5,16265,256440
20230629,492572,16277.5,2023/6/29,16387.5,16232.5,16305,229411
20230630,486972,16655,2023/6/30,16782.5,16242.5,16292.5,558327
20230703,477913,16787.5,2023/7/3,16852.5,16652.5,16655,283400
20230704,465623,16507.5,2023/7/4,16862.5,16430,16820,364803
20230705,462418,16547.5,2023/7/5,16627.5,16477.5,16537.5,207320
20230706,458859,16577.5,2023/7/6,16612.5,16467.5,16592.5,210432
20230707,454505,16677.5,2023/7/7,16787.5,16525,16535,334440
20230710,454263,16662.5,2023/7/10,16727.5,16607.5,16712.5,209236
20230711,485037,17095,2023/7/11,17102.5,16557.5,16605,452543
20230712,490213,17242.5,2023/7/12,17282.5,17022.5,17075,594725
20230713,480101,17222.5,2023/7/13,17287.5,17107.5,17212.5,285506
20230714,471721,17127.5,2023/7/14,17317.5,17080,17157.5,307085
20230717,448724,16907.5,2023/7/17,17222.5,16827.5,17182.5,437240
20230718,443056,17177.5,2023/7/18,17282.5,16912.5,16935,339473
20230719,428041,17157.5,2023/7/19,17187.5,16832.5,16997.5,518017
20230720,415172,17140,2023/7/20,17297.5,17107.5,17187.5,309656
20230721,377752,17162.5,2023/7/21,17352.5,17092.5,17142.5,317193
20230724,352249,16922.5,2023/7/24,17072.5,16862.5,16987.5,232524
20230725,335073,17007.5,2023/7/25,17087.5,16917.5,17007.5,133372
20230726,317169,17052.5,2023/7/26,17147.5,16997.5,17025,136467
20230727,308582,17087.5,2023/7/27,17232.5,17047.5,17067.5,110704
20230728,296063,17047.5,2023/7/28,17132.5,17002.5,17045,103148
20230731,280685,17262.5,2023/7/31,17327.5,17042.5,17077.5,136832
20230801,268996,17285,2023/8/1,17342.5,17212.5,17267.5,87013
20230802,252173,17302.5,2023/8/2,17357.5,17175,17270,101209
20230803,224337,17077.5,2023/8/3,17322.5,17077.5,17282.5,124115
20230804,208766,17077.5,2023/8/4,17127.5,16967.5,17087.5,87297
20230807,198386,17300,2023/8/7,17322.5,17032.5,17075,66924
20230808,184872,17087.5,2023/8/8,17377.5,17087.5,17295,47664
20230809,173359,17122.5,2023/8/9,17237.5,17037.5,17070,43274
20230810,164339,17137.5,2023/8/10,17207.5,17092.5,17147.5,28384
20230811,155483,17210,2023/8/11,17267.5,17127.5,17205,28217
20230814,135454,17117.5,2023/8/14,17345,17062.5,17212.5,48251
20230815,119407,17162.5,2023/8/15,17202.5,17097.5,17107.5,21949
20230816,95404,17002.5,2023/8/16,17172.5,16987.5,17155,47413
20230817,81844,16835,2023/8/17,17047.5,16825,17017.5,33713
20230818,75890,17090,2023/8/18,17097.5,16832.5,16885,15729
20230821,70848,17132.5,2023/8/21,17175,16997.5,17062.5,10520
20230822,67732,17122.5,2023/8/22,17170,17032.5,17170,6341
20230823,63703,17242.5,2023/8/23,17310,17097.5,17120,6748
20230824,61358,17397.5,2023/8/24,17477.5,17210,17242.5,7722
20230825,56429,17580,2023/8/25,17597.5,17352.5,17382.5,7202
20230828,53848,17725,2023/8/28,17955,17582.5,17607.5,8641
20230829,50853,17650,2023/8/29,17757.5,17572.5,17715,4442
20230830,47855,17800,2023/8/30,17812.5,17675,17692.5,6180
20230831,37514,17842.5,2023/8/31,17937.5,17772.5,17800,12370
20230901,32323,17912.5,2023/9/1,18052.5,17857.5,17857.5,5901
20230904,29416,17467.5,2023/9/4,18050,17452.5,18050,3453
20230905,27764,17602.5,2023/9/5,17662.5,17460,17462.5,2122
20230906,26590,17710,2023/9/6,17855,17592.5,17635,1128
20230907,21262,17272.5,2023/9/7,17787.5,17160,17735,4619
20230908,19456,17022.5,2023/9/8,17285,17007.5,17275,1606
20230911,17178,17245,2023/9/11,17282.5,17060,17060,283
20230912,16151,17407.5,2023/9/12,17457.5,17225,17250,623
20230913,14749,17087.5,2023/9/13,17427.5,16982.5,17427.5,688
20230914,13994,17100,2023/9/14,17257.5,17062.5,17072.5,424
